資料日期,股票代號,名稱,本益比,每股股利,殖利率,股價淨值比
"1131219","4554","橙的","14.63","1.00000000","3.40","1.52"
"1131219","4556","旭然","458.57","0.35000000","1.09","1.62"
"1131219","4558","寶緯","210.00","0","0.00","1.97"
"1131219","4561","健椿","19.51","1.00000000","1.39","3.06"
"1131219","4563","百德","33.69","0.53400000","0.48","3.74"
"1131219","4568","科際精密","21.32","2.50000000","5.01","1.45"
"1131219","4577","達航科技","N/A","0","0.00","1.66"
"1131219","4580","捷流閥業","12.17","4.79830887","5.15","1.68"
"1131219","4584","君帆","16.68","2.00000000","3.18","1.90"
"1131219","4609","唐鋒","N/A","0","0.00","2.31"
"1131219","4702","中美實","27.55","0","0.00","0.76"
"1131219","4706","大恭","38.23","0.20000000","0.64","1.64"
"1131219","4707","磐亞","15.85","0.90000000","6.45","0.89"
"1131219","4711","永純","N/A","0.50000000","3.30","0.90"
"1131219","4714","永捷","79.05","0","0.00","1.34"
"1131219","4716","大立","18.27","0","0.00","1.48"
"1131219","4721","美琪瑪","24.49","1.10000000","1.56","4.12"
"1131219","4726","永昕","N/A","0","0.00","4.14"
"1131219","4728","雙美","21.51","11.00000000","3.99","11.00"
"1131219","4729","熒茂","1220.00","0.50000000","2.05","1.71"
"1131219","4735","豪展","70.09","1.00000000","2.50","1.61"
"1131219","4741","泓瀚","16.81","1.80000000","5.30","1.21"
"1131219","4743","合一","N/A","0.49967501","0.57","3.19"
"1131219","4744","皇將","95.24","0.10000000","0.50","0.96"
"1131219","4745","合富-KY","N/A","0.40000000","1.95","0.57"
"1131219","4747","強生","38.85","1.49839697","2.12","1.89"
"1131219","4754","國碳科","14.44","1.80000000","4.37","2.49"
"1131219","4760","勤凱","23.40","2.70000000","2.45","3.78"
"1131219","4767","誠泰科技","11.02","1.50000000","4.64","1.08"
"1131219","4768","晶呈科技","66.29","4.00000000","2.29","4.83"
"1131219","4772","台特化","69.83","1.00000000","0.59","8.04"
"1131219","4806","桂田文創","N/A","0","0.00","3.26"
"1131219","4903","聯光通","34.53","0","0.00","3.39"
"1131219","4905","台聯電","38.48","1.50000000","1.91","0.81"
"1131219","4907","富宇","8.54","1.30000000","1.92","3.19"
"1131219","4908","前鼎","41.77","2.40000000","2.31","5.02"
"1131219","4909","新復興","14.29","0.50000000","0.43","3.58"
"1131219","4911","德英","37.81","1.17068600","2.05","4.20"
